"Customer_ID","No_Show","Major_Hub_Departure","Departure_Day","Departure_Hour","Connections","International_Flight","Connection_International_Flight","Business_Traveler","Booking_Class","When_Ticket_Purchased","Age_Grouping","Frequent_Flier_Status","Weather_Issues","Weather_Issues_Connection","Gender","Exact_Departure_Date","Flight_Distance","Flight_Delay_Minutes","Seat_Type","Ticket_Price_USD","Exact_Ages","Departure_Day_Num"
"     3988414","           0","           0","Monday","12:00 PM - 6:00 PM","           0","           0","           0","           0","Coach","Same Day","           3","           0","           0","           0","Female","2025-03-03","Medium-haul (500-1500mi)","           8","Aisle","      128.64","          28","           0"
"     8380269","           1","           1","Monday","6:00 AM - 12:00 PM","           1","           0","           0","           0","Business","<2 weeks ago","           2","           1","           0","           0","Male","2025-01-27","Long-haul (>1500mi)","          11","Middle","      541.99","          19","           0"
"     1382017","           1","           1","Tuesday","6:00 PM - 6:00 AM","           1","           0","           0","           0","First","Same Day","           3","           0","           0","           0","Male","2025-04-08","Medium-haul (500-1500mi)","           4","Window","      581.22","          24","           1"
"      401949","           1","           0","Friday","6:00 PM - 6:00 AM","           1","           0","           0","           0","Business","Same Day","           5","           0","           0","           1","Male","2025-02-14","Medium-haul (500-1500mi)","          36","Aisle","      317.44","          48","           4"
"     5951420","           1","           0","Sunday","6:00 AM - 12:00 PM","           1","           0","           0","           0","Business","2+ weeks ago","           6","           0","           0","           1","Female","2025-02-02","Short-haul (<500mi)","          82","Middle","      306.54","          51","           6"
"     9496493","           1","           1","Thursday","6:00 PM - 6:00 AM","           0","           0","           0","           0","Coach","Same Day","           4","           0","           0","           0","Male","2025-04-24","Short-haul (<500mi)","          58","Aisle","      132.89","          31","           3"
"     7062794","           1","           1","Thursday","6:00 PM - 6:00 AM","           0","           0","           0","           0","Coach","2+ weeks ago","           7","           0","           0","           0","Male","2025-01-16","Short-haul (<500mi)","          61","Window","       92.79","          68","           3"
"     4737369","           1","           0","Sunday","6:00 PM - 6:00 AM","           0","           0","           0","           0","First","2+ weeks ago","           4","           1","           0","           0","Male","2025-04-20","Long-haul (>1500mi)","          17","Aisle","      903.46","          39","           6"
"     1277041","           1","           0","Tuesday","6:00 AM - 12:00 PM","           1","           0","           0","           0","Coach","Same Day","           3","           0","           0","           0","Male","2025-03-18","Medium-haul (500-1500mi)","          22","Window","       123.6","          28","           1"
"      978861","           1","           1","Tuesday","6:00 AM - 12:00 PM","           1","           0","           0","           0","Coach","Same Day","           6","           0","           0","           1","Male","2025-02-11","Medium-haul (500-1500mi)","          75","Window","      146.19","          55","           1"
"     6711245","           1","           1","Monday","6:00 PM - 6:00 AM","           0","           1","           0","           1","Business","Same Day","           4","           0","           0","           0","Female","2025-03-10","Short-haul (<500mi)","          -2","Window","       284.4","          37","           0"
"     3920501","           1","           0","Wednesday","6:00 AM - 12:00 PM","           0","           0","           0","           0","Coach","<2 weeks ago","           4","           0","           0","           0","Male","2025-01-29","Long-haul (>1500mi)","           6","Window","      204.79","          37","           2"
"     1027772","           1","           0","Sunday","6:00 PM - 6:00 AM","           0","           1","           0","           0","Coach","<2 weeks ago","           4","           0","           0","           0","Male","2025-03-02","Long-haul (>1500mi)","          55","Aisle","      243.56","          32","           6"
"     2907064","           1","           1","Sunday","6:00 PM - 6:00 AM","           1","           0","           0","           0","Coach","Same Day","           3","           0","           0","           0","Female","2025-04-13","Short-haul (<500mi)","          14","Window","      142.43","          25","           6"
"      434795","           1","           0","Sunday","12:00 PM - 6:00 PM","           0","           0","           0","           1","Business","<2 weeks ago","           4","           0","           0","           0","Female","2025-02-23","Short-haul (<500mi)","           8","Aisle","      286.59","          32","           6"
"     6738080","           1","           0","Wednesday","6:00 AM - 12:00 PM","           0","           0","           0","           0","Business","Same Day","           2","           1","           0","           0","Male","2025-01-15","Short-haul (<500mi)","          24","Window","      290.35","          17","           2"
"     7468962","           1","           0","Sunday","6:00 PM - 6:00 AM","           1","           0","           0","           0","Coach","<2 weeks ago","           8","           0","           0","           1","Male","2025-03-30","Medium-haul (500-1500mi)","          54","Window","      113.68","          86","           6"
"     4730005","           1","           1","Monday","6:00 PM - 6:00 AM","           1","           0","           0","           0","Business","Same Day","           5","           0","           0","           0","Male","2025-02-03","Medium-haul (500-1500mi)","          16","Window","      384.05","          46","           0"
"     4899517","           1","           1","Sunday","6:00 AM - 12:00 PM","           1","           1","           1","           1","Coach","Same Day","           3","           1","           0","           1","Female","2025-01-19","Medium-haul (500-1500mi)","          46","Window","      147.72","          28","           6"
"     8215051","           1","           1","Thursday","6:00 PM - 6:00 AM","           1","           0","           0","           0","Coach","<2 weeks ago","           8","           0","           0","           0","Male","2025-02-20","Short-haul (<500mi)","          23","Window","       96.62","          80","           3"
"     4396130","           1","           0","Thursday","6:00 AM - 12:00 PM","           1","           0","           0","           1","Business","<2 weeks ago","           6","           0","           0","           1","Female","2025-01-30","Medium-haul (500-1500mi)","          86","Aisle","      353.65","          55","           3"
"     9865937","           1","           0","Thursday","6:00 PM - 6:00 AM","           0","           0","           0","           1","Business","Same Day","           2","           0","           0","           0","Male","2025-01-23","Short-haul (<500mi)","          83","Middle","      298.64","          14","           3"
"     9819063","           1","           1","Saturday","6:00 PM - 6:00 AM","           1","           0","           0","           0","First","<2 weeks ago","           4","           0","           0","           1","Female","2025-01-04","Short-haul (<500mi)","          34","Window","      492.81","          33","           5"
"        1004","           1","           1","Friday","6:00 AM - 12:00 PM","           1","           0","           0","           1","Coach","Same Day","           2","           0","           0","           0","Male","2025-01-24","Medium-haul (500-1500mi)","           8","Window","      122.88","          15","           4"
"     3866042","           1","           1","Wednesday","6:00 PM - 6:00 AM","           0","           0","           0","           0","Coach","Same Day","           5","           0","           0","           0","Male","2025-03-26","Medium-haul (500-1500mi)","           2","Window","      168.94","          43","           2"
"     9716917","           1","           1","Thursday","6:00 PM - 6:00 AM","           0","           0","           0","           0","Business","Same Day","           4","           0","           0","           0","Female","2025-03-20","Medium-haul (500-1500mi)","          72","Middle","      348.48","          40","           3"
